model,beta1,beta2,RTD,RTS,det_X,cond_X
M-OP,0.007700851434502366,-1.1848516938192548,129.85577095016646,-0.8495088003964996,0.00015123948259948778,30.473264670129243
M-FU,-3.1925101941475207,-25.146915027257098,-0.3132331423195423,-0.03528653076720502,0.00015123948259948778,30.473264670129243
