model,sL_full,sL_pre2025,sE_full,sE_pre2025,RTD_full,RTD_pre2025,delta_sL_pp,delta_sE_pp,delta_RTD
M-OP,0.5739507046819458,0.5758398300792805,0.050231695210488474,0.05234900011162143,2.178322334662748,2.177340293414986,0.18891253973347677,0.21173049011329534,-0.000982041247761689
M-FU,0.40575647745108256,0.4002805017803419,0.03551147431084486,0.036389084147746525,1.9642432681544766,1.963440426884623,-0.5475975670740652,0.08776098369016674,-0.000802841269853527
